	rid	cid
0	62796ce2ef89b291416f92ce1ca9f0d6322684d6	3611395294
1	52324ffdc6e53c79d76403dd3dc7715c41e834c7	3611368242
2	33f0c77405cf712622dd40af19bb4b5d83e9fbb4	3611297364
3	a1f3feacbaa8c655e10c7d3eb72e90009d037472	38570535810
4	a18adec8d577a307489d412877e574d184165823	38570645344
5	a18adec8d577a307489d412877e574d184165823	38570645344
6	a18adec8d577a307489d412877e574d184165823	38570645344
7	a18adec8d577a307489d412877e574d184165823	38570645344
8	65af3eed27a4f07a58daf669ed11e74ae85f64ad	3611302168
9	65af3eed27a4f07a58daf669ed11e74ae85f64ad	3611302168
10	647d1feac75e5c2341d0e4fe0aee461272922f03	3611390539
11	8f6491d0bf44461362922021f7736ff4cc95e84d	3611323794
12	82bcedf7c9ea93738b089c72174fe36106eb4a89	3611350577
13	82bcedf7c9ea93738b089c72174fe36106eb4a89	3611350577
14	6914147a69cdb6b11e2cc525e1718b4b7e5ae58a	3611313091
15	315872e2d1f3f575b8096d57545e47f386595cb1	3611175383
16	a797e1073e8447ce7161fa1da769e6ae81e49034	3611368307
17	ec0effa7b0fac6179ef6a1072acfbb059cdc76ff	3611319660
18	097b1e9bb90ca1c027c49769f81ae448cfdad5ae	3611203923
19	097b1e9bb90ca1c027c49769f81ae448cfdad5ae	3611203923
20	f1c279af8f18f29ddfdff3e22edb4c52d2d6706d	3611229903
21	f1c279af8f18f29ddfdff3e22edb4c52d2d6706d	3611229903
22	f1c279af8f18f29ddfdff3e22edb4c52d2d6706d	3611229903
23	f1c279af8f18f29ddfdff3e22edb4c52d2d6706d	3611229903
24	4ca04bfaa47513db01a0c9675722d5d4a7c99849	3611205265
25	e4858990fd28b246243955ce42434804dcfd6897	3611403676
26	e2294b436f37b9e122259d97c821a5f44a23dede	3611262458
27	e2294b436f37b9e122259d97c821a5f44a23dede	3611262458
28	179757fd55f7e9e59d2ba1c4ed2fb0571af7e5b2	3611324612
29	1c89e275b1697e9bbecb509b3152490575472012	3611343614
30	1c89e275b1697e9bbecb509b3152490575472012	3611343614
31	be982ac946903e29f8ce3ad89ead9ef2d6223e17	3611208856
32	37bdf42757b65e2569625d77861026601b6fec4d	3611215024
33	12add0cf03da2467d2feeafd79e5d45a425c402a	3611347684
34	12add0cf03da2467d2feeafd79e5d45a425c402a	3611347684
35	12add0cf03da2467d2feeafd79e5d45a425c402a	3611347684
36	12add0cf03da2467d2feeafd79e5d45a425c402a	3611347684
37	85c596bb2a55f3edcbdf70d7d4df9f4bed72fc72	3611427975
38	85c596bb2a55f3edcbdf70d7d4df9f4bed72fc72	3611427975
39	f574846c4cfa2e192db59b0d9ffa48b6f7f15810	3611460612
40	04dc645ba12e54676181c59bdccb2b478fb295ac	3611343428
41	ccb85f33da46c282b32153fbac6f61fbc8497a4e	3611315485
42	0920d07f54f8bf2e18c67edc77b15dfd0ad775c9	3611243190
43	0920d07f54f8bf2e18c67edc77b15dfd0ad775c9	3611243190
44	0920d07f54f8bf2e18c67edc77b15dfd0ad775c9	3611243190
45	0920d07f54f8bf2e18c67edc77b15dfd0ad775c9	3611243190
46	0920d07f54f8bf2e18c67edc77b15dfd0ad775c9	3611243190
47	4d1e922ca813f63eb22fe11e1ed23c4721b2c094	3611277231
48	4d1e922ca813f63eb22fe11e1ed23c4721b2c094	3611277231
49	1033735b312abc4c95fdf5cebcd9869b0acb07f0	3611169627
50	1033735b312abc4c95fdf5cebcd9869b0acb07f0	3611169627
51	282e9de308d956d8086f3961cd90163c17f3cc36	3611213565
52	282e9de308d956d8086f3961cd90163c17f3cc36	3611213565
53	282e9de308d956d8086f3961cd90163c17f3cc36	3611213565
54	57d4558a9f517a914f961e3a7fbc51ba7108e3e4	3611266371
55	57d4558a9f517a914f961e3a7fbc51ba7108e3e4	3611266371
56	c2c1139f96c94c7fcabcd8fe3ae5c0dcf1ecf623	3611343461
57	c2c1139f96c94c7fcabcd8fe3ae5c0dcf1ecf623	3611343461
58	83bb738943468c663a221a45748ec0a33cc26ffd	3611393952
