	oid	cid
0	150261c2243764de81dffa4b8e80c19564364f04	38541468420
1	e91ac1892a13030d0c76ed56bb72ae51cbce604e	38541465477
2	fad6ba7995c989886baff54c1f03707eb3153d29	38570529117
3	e9d6d6bbe203ca40507bcb9bc69ddee2468695c1	38570551145
4	fab1c42d403e32bf15f46a06d90115073aee12bb	38570528850
5	2e206438beb7dbda6170cc908d5863249665002c	38541471712
6	f2900057469a18e3595602a04e7fce4ecb28a04a	38541470741
7	25954cc3d016f4432f7fefdfafa916ae2f791e82	38541475938
8	0e3db17bfabfc27fee88f75f04afcfc42915f93f	3611165687
9	adfea9cb779dc39ba24243ab54413d016d321ca6	3611165624
10	2fa7e12e56ecd160fb1d1f6aea85f9cd7ad07162	3611165541
11	330599ce9baf027a87ad46ffde3c574e9f8de6c6	3611166978
12	ab3c13db9c6e5c9549db951dd2c6b9b3a1d14ae8	38541464548
13	07bfb0afdfc73a9c4238b519275f7e01d5e28c57	3611166495
14	439d49c073df5e22f7d5dade6b105f55bf635b41	3611166689
15	86db9559d3f66303a36ab248821c9dc83f2649ca	3611166946
16	c6364fe70093db8dcaf559b4bb9723cc02d7e998	3611166585
17	6238a46eb85748c8e3a211f8c5ccb3bfd58c9b78	3611166585
18	6652290cea5ea446b82967628d269287a1d86807	3611167242
19	0b27e05a4f57d26ec5f09ab41bbac38d62466497	3611167766
20	770502a6aa0eff61d0c93d926dc6d189a92534b8	3611167371
21	1e19b8b278b13f682c69dd35ecb3a9396ed23046	3611166682
22	90ca1077bedeeb566ed334b2cdcf755f1d8e86d3	3611166156
23	6931c7532d955f861188600a4625cbbadcec9846	3611165577
24	550bc7b5c5f03d2166167d85dd39360b614471df	3611167683
25	e409371fc2c1a515ae0ab086a50c51bfbdd58ac9	3611166670
26	3d4915f824b830449ec3dd897d7ee3da083cc2f4	3611166580
27	733c90aaef26662b889861e48aa3947b3a9f0584	3611168174
28	50d7b2dd3b5384d16b7a9ea2732121ad8180315b	3611166585
29	b9aa4c72d9c2d73316a93d5a0a6e092830191041	3611168173
30	0fc14c49511d8c16b4664d6085bc2637311b6d0a	3611168173
31	e739d5c38b31af917a05edfeec7631ed3b68843e	3611167242
32	7d6549a3dce417476313609ae0bff727ac2f2f49	3611167991
33	948b5c84b170317691c7c3a08d713bcf7dc929ee	3611169962
34	cdeeaef2dcfba7cc0848ddc6e812cdc226494561	3611169570
35	29645d189dd68bc5c38851ca2f27425f95c69375	38541466548
36	f14ed9c158e12c9545e09e86522a5f7bdde6b2a3	3611169627
37	a11aa77296ddab91ad0c15787b51799fb5655c94	3611167991
38	b1fb4f588302b9321e68a6d29312fca8957b52c4	3611170997
39	acda3abe0620d7afc19ccdd738b10e22a815cdd0	3611170063
40	a8ae3d8e91f936525c396868c540746922434175	3611170881
41	0db47d8b39eb70666363462bce9695e5a9514528	3611170384
42	a628e67e36d58d00e8eb58fd571a5282a2ed7590	3611171190
43	73f4fbd96fafaa3dd10d13df05705f641ee74979	3611166682
44	8a1786bab4ed218de26cc5ba1bf17b731d4876aa	38541467916
45	b938e9eac0f3dfa409e7c61a9817a5af4f80cebc	3611171209
46	25ce7836ad37c42a428e7b5741491d987d3f0ac6	3611165761
47	42343e08eeca32514092b322d8937e2cf7f74450	3611167371
48	942ba8fd938790a15af3dd1c5f7f51048e5cea4c	3611170881
49	706faddf59ba281514ef8906de9ce85e885cc605	3611166682
50	ce1d5633004acd6cacfb7741863ab0d103746915	3611172200
51	b2c90387d06ad0a7212da91205961e92c905dfa7	3611166670
52	7157d2062e52a6a4cfee23bc01f8979e105c8643	3611167683
53	32b221784e2a4c30f7497ef5587440c1b57dab38	3611172274
54	fa2453e3ebd960d34246ca13a5b094924460cd1a	3611171538
55	8e389ffbbe244eedcede37925432389c04dfd661	38541468515
56	8ef5fcccc659d0929eccab4f364b764eada13927	3611172178
57	2c9e76f7b39095258495366c8797edfc323d8ef0	3611172178
58	972d59ffadc98cd1df22005263d4b511215635f8	3611171781
59	abcf4f1d04010525af9d8ef046d534c79da7d0ec	3611172318
60	67a22391f8b91c499000192284e8ddc41eb9429f	3611172132
61	3104aa8bde94961fb17eb879947e8684c6ad714d	3611172132
62	dfcff3d825be3b05d9d4f7046d7fdcbae2dce8aa	3611170563
63	ea4b95a676a05f75788cc8b7cda5bc03f7ece0c7	3611171209
64	b642e8b1e94ddb0453b3b8abb5ed4e1476b301d3	3611172968
65	3aadb8bee1ac39ea06eafa2728e91a3eb3aab555	3611171813
66	cc02a3aeb497730021fdaa4cbc030bfbf731e259	3611172762
67	d01cb53ffece81a55f00613dd2aa51adb52c2d61	3611173766
68	b00a0ba2632cf38972696a91f998fbca2405f6cd	3611174200
69	570af3eaf7dc95e81acb41e88b758f3d784a1296	3611173210
70	532dc31afb1fa25d2276947cf5c90845fd31b3e7	3611173644
71	2b4c9dd473e7c496f3b9db54e186e8a8dd237af5	3611174070
72	cc848c1fe45cf68861a5ad0677b59108c5633cb4	3611173004
73	78e3a765cc05df148a6cf22cdb7f4be08eee8583	3611174328
74	42412187441da957f64a28ea84b31e373e036293	3611175254
75	7fa03dc7810c8060596334c26145fb75a29dc618	3611174370
76	1240a62b3c2a295261670a132d205bf491a57c23	3611174370
